brand,sku,title_fa,condition,quantity_basis,foreign_price,currency,fx_sell_toman,multiplier,estimate_toman,observed_on,price_source,fx_source,fx_source_timestamp,page
MP Sensor,5-11-3132-014200,ترانسمیتر فشار MP Sensor مدل 5-11-3132-014200,new,1,217.00,USD,230900,2,100210600,2026-09-19,https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/pressure_sensors/pressure_transmitters/5-11-3132-014200,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/mp-sensor-5-11-3132-014200.html
MP Sensor,5-11-3132-030200,ترانسمیتر فشار MP Sensor مدل 5-11-3132-030200,new,1,197.00,USD,230900,2,90974600,2026-09-19,https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/pressure_sensors/pressure_transmitters/5-11-3132-030200,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/mp-sensor-5-11-3132-030200.html
MP Sensor,5-11-3132-050000,ترانسمیتر فشار MP Sensor مدل 5-11-3132-050000,new,1,197.00,USD,230900,2,90974600,2026-09-19,https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/pressure_sensors/pressure_transmitters/5-11-3132-050000,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/mp-sensor-5-11-3132-050000.html
MP Sensor,5-11-3132-100000,ترانسمیتر فشار MP Sensor مدل 5-11-3132-100000,new,1,197.00,USD,230900,2,90974600,2026-09-19,https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/pressure_sensors/pressure_transmitters/5-11-3132-100000,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/mp-sensor-5-11-3132-100000.html
MP Sensor,5-11-3132-145200,ترانسمیتر فشار MP Sensor مدل 5-11-3132-145200,new,1,197.00,USD,230900,2,90974600,2026-09-19,https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/pressure_sensors/pressure_transmitters/5-11-3132-145200,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/mp-sensor-5-11-3132-145200.html
MP Sensor,5-11-3132-200000,ترانسمیتر فشار MP Sensor مدل 5-11-3132-200000,new,1,197.00,USD,230900,2,90974600,2026-09-19,https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/pressure_sensors/pressure_transmitters/5-11-3132-200000,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/mp-sensor-5-11-3132-200000.html
MP Sensor,5-11-3132-300000,ترانسمیتر فشار MP Sensor مدل 5-11-3132-300000,new,1,197.00,USD,230900,2,90974600,2026-09-19,https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/pressure_sensors/pressure_transmitters/5-11-3132-300000,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/mp-sensor-5-11-3132-300000.html
MP Sensor,5-11-3132-500000,ترانسمیتر فشار MP Sensor مدل 5-11-3132-500000,new,1,197.00,USD,230900,2,90974600,2026-09-19,https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/pressure_sensors/pressure_transmitters/5-11-3132-500000,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/mp-sensor-5-11-3132-500000.html
Valworx,551820A,شیر توپی دو تکه استیل ۲٫۵ اینچ Valworx 551820A,new,1,401.60,USD,230900,2,185458880,2026-09-19,https://www.valworx.com/stainless-ball-valves-2-12-npt,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/valworx-551820a.html
Valworx,551508C,شیر توپی سه تکه استیل ۱ اینچ Valworx 551508C,new,1,129.60,USD,230900,2,59849280,2026-09-19,https://www.valworx.com/3-piece-stainless-ball-valves-1-npt,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/valworx-551508c.html
Valworx,552802C,شیر توپی سه‌راهه L-Port استیل ۱/۴ اینچ Valworx 552802C,new,1,129.60,USD,230900,2,59849280,2026-09-19,https://www.valworx.com/stainless-3-way-ball-valves-l-port-14-npt,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/valworx-552802c.html
Valworx,549820,شیر یک‌طرفه فنری استیل ۲٫۵ اینچ Valworx 549820,new,1,224.82,USD,230900,2,103821876,2026-09-19,https://www.valworx.com/2-12-spring-check-valve,https://www.bonbast.com/,"September 19, 2026 18:02",https://pishtaj.ir/products/valworx-549820.html
